t,trust,residual,authority_scale,fault_label,supervisor_mode,hold
0.08,0.7358049176816901,0.24593455520932692,0.7358049176816901,,,
0.17,0.742413044989686,0.23715546159545078,0.742413044989686,nominal,nominal,false
0.27,0.7493690367560117,0.2289133814234208,0.7493690367560117,nominal,nominal,false
0.37,0.7555732692604222,0.22336401633961836,0.7555732692604222,nominal,nominal,false
0.47,0.7605083473783051,0.2200679034365756,0.7605083473783051,nominal,nominal,false
0.57,0.767517553909971,0.2091570353063555,0.767517553909971,nominal,nominal,false
0.67,0.7741519155536307,0.20267858798236188,0.7741519155536307,nominal,nominal,false
0.78,0.7763843820558558,0.20733635055997335,0.7763843820558558,nominal,nominal,false
0.88,0.7808296187452535,0.1990792634889436,0.7808296187452535,nominal,nominal,false
0.97,0.7694684513358312,0.23704307953905512,0.7694684513358312,nominal,nominal,false
1.07,0.7674207051023851,0.22394222970604638,0.7674207051023851,nominal,nominal,false
1.17,0.7535331871588198,0.25918027557545387,0.7535331871588198,nominal,nominal,false
1.27,0.7299810831890133,0.30361911952173576,0.7299810831890133,nominal,nominal,false
1.37,0.7206649696328992,0.2893017088468789,0.7206649696328992,nominal,nominal,false
1.47,0.7261488698969955,0.25727988543926034,0.7261488698969955,nominal,nominal,false
1.57,0.736223235430999,0.23825328551614583,0.736223235430999,nominal,nominal,false
1.67,0.7442097908106505,0.2328859241797756,0.7442097908106505,nominal,nominal,false
1.77,0.7685473100039089,0.18070536154089273,0.7685473100039089,nominal,nominal,false
1.87,0.7896477880532031,0.16405720697312695,0.7896477880532031,nominal,nominal,false
1.97,0.8075076530158734,0.15097107081839609,0.8075076530158734,nominal,nominal,false
2.07,0.8269439494117261,0.12947496931508118,0.8269439494117261,nominal,nominal,false
2.17,0.8293773909613593,0.15224046682374287,0.8293773909613593,nominal,nominal,false
2.27,0.8450645237869487,0.11739838210165814,0.8450645237869487,nominal,nominal,false
2.37,0.8661676365314877,0.08981925679797678,0.8661676365314877,nominal,nominal,false
2.47,0.85813596616165,0.13927613456429927,0.85813596616165,nominal,nominal,false
2.57,0.8596428039424806,0.12384372777264,0.8596428039424806,nominal,nominal,false
